Law, Form, Dual form
**Identity**, a * 1 = a                   , a + 0 = a
**Commutative**    , a * b = b * a               , a + b = b + a
**Associative**    , (a * b) * c = a * (b * c)   , (a + b) + c = a + (b + c)
Identity           , a * 0 = 0                   , a + 1 = 1
Distributive       , a * (b + c) = a * b + a * c , a + (b * c) = (a + b) * (a + c)
Idempotence        , a * a = a                   , a + a = a
Absorption         , a + a * b = a               , a * (a + b) = a
Complement         , 0' = 1                      , 1' = 0
Complement         , a * a' = 0                  , a + a' = 1
Involution         , a'' = a                     , a'' = a
DeMorgan's         , (a + b)' = a' * b'          , (a * b)' = a' + b'
