n     , 2^n               , n    , 2^n    , n    , 2^n
    0 ,     1             ,    0 ,      1 ,   10 ,    1024
   -1 ,    1/2 (0.5)      ,    1 ,      2 ,   11 ,    2048
   -2 ,    1/4 (0.25)     ,    2 ,      4 ,   12 ,    4096
   -3 ,    1/8 (0.125)    ,    3 ,      8 ,   13 ,    8192
   -4 ,   1/16 (0.0625)   ,    4 ,     16 ,   14 ,   16384
   -5 ,   1/32 (0.03125)  ,    5 ,     32 ,   15 ,   32768
   -6 ,   1/64 (0.015625) ,    6 ,     64 ,   16 ,   65536
   -7 ,   0.0078125       ,    7 ,    128 ,   17 ,  131072
   -8 ,   0.00390625      ,    8 ,    256 ,   18 ,  262144
   -9 ,   0.001953125     ,    9 ,    512 ,   19 ,  524288
  -10 ,   0.0009765625    ,   10 ,   1024 ,   20 , 1048576
